,Hotel,Resort name,Price,Country
73,BALIK HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,822,Чехия
74,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,824,Чехия
75,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,824,Чехия
76,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,826,Чехия
77,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,826,Чехия
78,HIMEROS LIFE HOTEL 4 *Standard,КемерANTALYAАнталия,833,Чехия
79,ROSARIUM HOTEL 3 *Standard,КемерANTALYAАнталия,834,Чехия
80,HIMEROS LIFE HOTEL 4 *Standard,КемерANTALYAАнталия,835,Чехия
81,MELTEM HOTEL 2 *Standard,АнталияANTALYAАнталия,836,Чехия
82,ASEL HOTEL 3 *Standard,КемерANTALYAАнталия,837,Чехия
83,ROSARIUM HOTEL 3 *Standard,КемерANTALYAАнталия,840,Чехия
84,CLUB BAYAR BEACH HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,842,Чехия
85,BALIK HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,843,Чехия
86,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,844,Чехия
87,CLUB BAYAR BEACH HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,844,Чехия
88,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,845,Чехия
89,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,847,Чехия
90,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,848,Чехия
91,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,854,Чехия
92,ROSARIUM HOTEL 3 *Standard,КемерANTALYAАнталия,858,Чехия
93,DROP HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,858,Чехия
94,PRIMA HOTEL 3 *Standard,АнталияANTALYAАнталия,858,Чехия
95,ORIENT SUITE HOTEL 3 *Standard Room,Инжекум - АланияANTALYAАнталия,858,Чехия
96,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,859,Чехия
97,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,860,Чехия
98,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,860,Чехия
0,SANMALI BEACH HOTEL 2 *Standard non AC,МаравилаCOLOMBOКоломбо (регулярные рейсы),1 466,Шри-Ланка
1,AMAGI BEACH 2 *Standard,МаравилаCOLOMBOКоломбо (регулярные рейсы),1 480,Шри-Ланка
2,SANMALI BEACH HOTEL 2 *Standard non AC,МаравилаCOLOMBOКоломбо (регулярные рейсы),1 501,Шри-Ланка
3,SANMALI BEACH HOTEL 2 *Standard AC,МаравилаCOLOMBOКоломбо (регулярные рейсы),1 501,Шри-Ланка
4,C NEGOMBO 2 *Deluxe,НегомбоCOLOMBOКоломбо (регулярные рейсы),1 502,Шри-Ланка
